Geräte_Produkt;Geräte_Standort;Geräte_Seriennummer;Geräte_Gerätenummer;Fälle_Gesamt;Fälle_Inhalativ;Fälle_Durchschnittl. Dauer [min];Durchschnittl. Kosten_Pro Fall [EUR];Durchschnittl. Kosten_Pro Minute [EUR];Durchschnittl. FG-Flow pro Fall [L/min]_Gesamt;Durchschnittl. FG-Flow pro Fall [L/min]_O2;Durchschnittl. FG-Flow pro Fall [L/min]_N2O;Durchschnittl. FG-Flow pro Fall [L/min]_Air;Durchschnittl. Verbrauch pro Fall (mL)_Gesamt;Durchschnittl. Verbrauch pro Fall (mL)_Iso;Durchschnittl. Verbrauch pro Fall (mL)_Des;Durchschnittl. Verbrauch pro Fall (mL)_Sev;Durchschnittl. Uptake pro Fall [mL]_Gesamt;Durchschnittl. Uptake pro Fall [mL]_Iso;Durchschnittl. Uptake pro Fall [mL]_Des;Durchschnittl. Uptake pro Fall [mL]_Sev;Durchschnittl. Effizienz pro Fall [%]_Gesamt;Durchschnittl. Effizienz pro Fall [%]_Iso;Durchschnittl. Effizienz pro Fall [%]_Des;Durchschnittl. Effizienz pro Fall [%]_Sev;CO2-Äquivalent gesamt [kg]_Gesamt;CO2-Äquivalent gesamt [kg]_Iso;CO2-Äquivalent gesamt [kg]_Des;CO2-Äquivalent gesamt [kg]_Sev
Gesamt;;;;185;123;96;12,42;0,10;2,09;1,93;;0,17;20,70;;;20,70;13,48;;;13,48;62,16;;;62,16;0,50;;;0,50
A500;;ASDD-0018;;114;68;64;10,10;0,13;3,11;2,90;;0,21;16,83;;;16,83;8,30;;;8,30;49,31;;;49,31;0,23;;;0,23
A500;;ASDD-0010;;64;54;159;15,56;0,08;1,36;1,23;;0,13;25,93;;;25,93;20,23;;;20,23;78,02;;;78,02;0,28;;;0,28
A500;;ASDB-0026;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0019;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0007;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0029;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0027;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0016;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0006;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0013;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0020;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0023;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0025;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0003;;7;1;33;1,28;0,02;2,03;1,91;;0,12;2,13;;;2,13;1,70;;;1,70;79,82;;;79,82;0,00;;;0,00
A500;;ASDD-0008;null;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0014;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0022;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0009;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0028;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0021;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0004;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0012;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDD-0011;;;;0;;;;;;;;;;;;;;;;;;;;;;
A500;;ASDB-0024;;;;0;;;;;;;;;;;;;;;;;;;;;;
Perseus A500;;ASDB-0023;;;;0;;;;;;;;;;;;;;;;;;;;;;
