Class;Code;TimeStamp;Decription;CodeExtension;SerialNumber
Operating code;60.170.000;03.04.2024 07:47;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000054 PR00 #1#3#351000c9#2#300#6.000000#201d#8#400#1#1#300#15.000000#201d#7#400#1#5#Therapy setting Flow changed from 6.00l/min to 15.00l/min;
Operating code;60.170.000;03.04.2024 07:57;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000087 PR00 #1#3#351000c9#2#300#15.000000#201d#8#400#1#1#300#3.000000#201d#7#400#1#5#Therapy setting Flow changed from 15.00l/min to 3.00l/min;
Operating code;60.170.014;03.04.2024 07:57;Handradstellung von Vapor 3000 verändert;S2 P1 C00000088 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#2#1#25d00308#0.452000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.0 to 0.5;
Operating code;60.170.000;03.04.2024 07:57;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000089 PR00 #1#3#351000c9#2#300#3.000000#201d#8#400#1#1#300#3.100000#201d#7#400#1#5#Therapy setting Flow changed from 3.00l/min to 3.10l/min;
Operating code;60.170.014;03.04.2024 07:57;Handradstellung von Vapor 3000 verändert;S2 P1 C00000090 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.452000#201a#8#25d0040b#4#1#25d00308#2.282000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.5 to 2.3;
Operating code;60.170.000;03.04.2024 07:57;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000093 PR00 #1#3#351000c9#2#300#3.100000#201d#8#400#1#1#300#1.000000#201d#7#400#1#5#Therapy setting Flow changed from 3.10l/min to 1.00l/min;
Operating code;60.170.014;03.04.2024 07:57;Handradstellung von Vapor 3000 verändert;S2 P1 C00000094 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.282000#201a#8#25d0040b#4#1#25d00308#3.312000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.3 to 3.3;
Operating code;60.170.014;03.04.2024 07:59;Handradstellung von Vapor 3000 verändert;S2 P1 C00000100 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.312000#201a#8#25d0040b#4#1#25d00308#4.292000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.3 to 4.3;
Operating code;60.170.014;03.04.2024 07:59;Handradstellung von Vapor 3000 verändert;S2 P1 C00000101 PR00 #1#3#0#7#25d00405#5#2#25d00308#4.292000#201a#8#25d0040b#4#1#25d00308#5.092000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.3 to 5.1;
Operating code;60.170.000;03.04.2024 08:00;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000102 PR00 #1#3#351000c9#2#300#1.000000#201d#8#400#1#1#300#0.300000#201d#7#400#1#5#Therapy setting Flow changed from 1.00l/min to 0.30l/min;
