Class;Code;TimeStamp;Decription;CodeExtension;SerialNumber
Operating code;60.170.000;04.04.2024 10:53;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000245 PR00 #1#3#351000c9#2#300#6.000000#201d#8#400#1#1#300#15.000000#201d#7#400#1#5#Therapy setting Flow changed from 6.00l/min to 15.00l/min;
Operating code;60.170.000;04.04.2024 11:07;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000294 PR00 #1#3#351000c9#2#300#15.000000#201d#8#400#1#1#300#3.000000#201d#7#400#1#5#Therapy setting Flow changed from 15.00l/min to 3.00l/min;
Operating code;60.170.000;04.04.2024 11:07;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000298 PR00 #1#3#351000c9#2#300#3.000000#201d#8#400#1#1#300#0.200000#201d#7#400#1#5#Therapy setting Flow changed from 3.00l/min to 0.20l/min;
Operating code;60.170.014;04.04.2024 11:08;Handradstellung von Vapor 3000 verändert;S2 P1 C00000299 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.000000#201a#8#25d0040b#2#1#25d00308#8.002000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 0.0 to 8.0;
Operating code;60.170.014;04.04.2024 11:29;Handradstellung von Vapor 3000 verändert;S2 P1 C00000309 PR00 #1#3#0#7#25d00405#5#2#25d00308#8.002000#201a#8#25d0040b#4#1#25d00308#6.312000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 8.0 to 6.3;
Operating code;60.170.014;04.04.2024 11:29;Handradstellung von Vapor 3000 verändert;S2 P1 C00000310 PR00 #1#3#0#7#25d00405#5#2#25d00308#6.312000#201a#8#25d0040b#4#1#25d00308#4.622000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 6.3 to 4.6;
Operating code;60.170.014;04.04.2024 11:30;Handradstellung von Vapor 3000 verändert;S2 P1 C00000312 PR00 #1#3#0#7#25d00405#5#2#25d00308#4.622000#201a#8#25d0040b#4#1#25d00308#2.542000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 4.6 to 2.5;
Operating code;60.170.014;04.04.2024 11:45;Handradstellung von Vapor 3000 verändert;S2 P1 C00000316 PR00 #1#3#0#7#25d00405#5#2#25d00308#2.542000#201a#8#25d0040b#4#1#25d00308#3.052000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 2.5 to 3.1;
Operating code;60.170.014;04.04.2024 12:26;Handradstellung von Vapor 3000 verändert;S2 P1 C00000329 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.052000#201a#8#25d0040b#4#1#25d00308#3.522000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.1 to 3.5;
Operating code;60.170.014;04.04.2024 12:32;Handradstellung von Vapor 3000 verändert;S2 P1 C00000331 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.522000#201a#8#25d0040b#4#1#25d00308#3.432000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.5 to 3.4;
Operating code;60.170.014;04.04.2024 12:32;Handradstellung von Vapor 3000 verändert;S2 P1 C00000332 PR00 #1#3#0#7#25d00405#5#2#25d00308#3.432000#201a#8#25d0040b#4#1#25d00308#0.382000#201a#7#25d0040b#4#5#Vapor View slot 1 (Sev): Changed from 3.4 to 0.4;
Operating code;60.170.014;04.04.2024 12:32;Handradstellung von Vapor 3000 verändert;S2 P1 C00000333 PR00 #1#3#0#7#25d00405#5#2#25d00308#0.382000#201a#8#25d0040b#4#1#25d00308#0.000000#201a#7#25d0040b#2#5#Vapor View slot 1 (Sev): Changed from 0.4 to 0.0;
Operating code;60.170.000;04.04.2024 12:36;Alarmgrenze oder Therapieeinstellung durch Anwender geändert;S2 P1 C00000335 PR00 #1#3#351000c9#2#300#0.200000#201d#8#400#1#1#300#15.000000#201d#7#400#1#5#Therapy setting Flow changed from 0.20l/min to 15.00l/min;
